Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2023-05-20 13:05:13,false,"Copenhagen - Main run 2023","6.67","451","00:30:12","159","167","3.6","180","188","4:32","3:58","32","33","1.22","6.1","7.6","260","49.3% L / 50.7% R","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:01.99","11","0.0","00:30:08","00:30:12","--","14"
Running,2023-05-17 21:07:01,false,"Copenhagen - Main run 2023","6.85","447","00:30:09","158","171","3.6","183","194","4:24","3:50","25","26","1.15","5.8","6.9","264","49.2% L / 50.8% R","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:01.35","11","0.0","00:30:06","00:30:09","--","13"
Running,2023-05-12 21:07:01,false,"Copenhagen - Main run 2023","5.94","449","00:30:11","158","168","3.6","175","189","5:05","4:01","32","33","1.19","6.2","7.6","273","49.4% L / 50.6% R","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:02.92","9","0.0","00:30:09","00:30:11","--","15"
Running,2023-05-10 21:42:47,false,"Copenhagen - Main run 2023","5.96","429","00:30:53","148","158","3.3","175","182","5:11","4:33","22","25","1.15","6.3","7.5","276","49.5% L / 50.5% R","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:03.63","9","0.0","00:30:51","00:30:53","--","11"
Running,2023-05-05 18:36:32,false,"Copenhagen - Main run 2023","6.50","459","00:30:28","155","167","3.8","179","186","4:41","4:07","21","20","1.19","0.0","0.0","0","--","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:01.10","11","0.0","00:30:22","00:30:34","--","12"
Running,2023-05-03 20:26:49,false,"Copenhagen - Main run 2023","6.44","449","00:30:11","154","171","3.7","174","181","4:41","4:13","91","91","1.22","0.0","0.0","0","--","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:00.96","11","0.0","00:30:08","00:30:11","--","64"
Running,2023-05-01 18:14:07,false,"Copenhagen - Main run 2023","6.79","444","00:30:32","156","165","3.5","182","194","4:30","3:40","33","34","1.10","6.0","6.8","267","49.2% L / 50.8% R","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:02.68","11","0.0","00:30:28","00:30:32","--","15"
Running,2023-04-28 19:03:02,false,"Copenhagen - Main run 2023","6.93","451","00:30:09","162","181","3.9","181","192","4:21","3:42","33","33","1.16","5.9","7.1","260","49.5% L / 50.5% R","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:01.65","10","0.0","00:29:43","00:30:14","--","14"
Running,2023-04-21 20:40:49,false,"Copenhagen - Main run 2023","7.36","460","00:30:05","162","171","3.8","187","194","4:05","3:40","336","185","1.14","5.6","6.7","257","49.7% L / 50.3% R","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:02.38","10","0.0","00:30:02","00:30:05","-146","12"
Running,2023-04-19 19:50:11,false,"Copenhagen - Main run 2023","6.66","441","00:30:21","157","167","3.5","181","188","4:34","4:06","30","31","1.16","6.1","7.3","264","49.7% L / 50.3% R","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:01.14","11","0.0","00:30:15","00:30:21","--","15"
